"RESPNUM","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","TOPBOT3","GENDER","AGE","MARITST","NUMKIDS","FIRSTCAR","AGECAT","KIDSCAT","INCOME"
15,6,3,3,5,4,1,4,2,6,2,2,7,6,1,2,1,1,1,3,7,4,3,3,6,2,1,36,1,1,2,4,1,2
16,2,1,2,4,4,6,7,6,2,1,4,5,4,4,4,5,5,3,6,6,3,2,4,3,2,1,45,1,0,2,6,0,6
17,7,4,5,4,4,2,5,2,7,1,1,7,6,1,1,2,1,1,4,4,3,7,4,3,1,2,27,1,1,2,2,1,3
18,2,3,3,4,4,6,7,5,2,1,3,3,4,4,6,4,3,5,4,4,5,3,4,5,3,2,33,1,0,2,3,0,2
19,7,5,4,4,3,1,5,2,6,1,1,6,6,1,1,1,1,1,4,4,4,3,4,3,3,2,35,1,0,2,4,0,4
20,3,2,3,3,3,6,6,6,4,3,7,2,4,6,6,2,4,4,7,7,6,2,2,2,3,2,20,1,0,2,1,0,5
21,2,7,7,5,3,5,2,4,2,4,6,1,1,5,6,5,4,3,4,5,3,5,3,4,2,1,42,1,1,2,5,1,4
22,3,5,6,3,4,3,1,4,3,4,6,3,2,4,2,2,5,4,1,3,3,6,4,4,1,2,41,1,2,2,5,2,5
23,7,3,4,5,6,2,6,2,7,2,2,7,7,2,1,2,2,2,5,4,5,4,5,3,1,2,54,1,0,2,6,0,5
24,4,5,5,6,5,5,2,3,3,3,6,2,3,3,3,5,3,4,3,5,4,4,4,3,1,2,30,1,2,2,3,2,2
25,4,5,5,6,5,6,2,6,5,5,5,2,1,4,4,4,4,2,4,5,3,3,5,2,2,2,48,3,0,2,6,0,2
26,4,2,4,4,4,7,7,5,2,4,7,1,5,7,7,5,4,5,7,7,6,1,1,2,1,1,56,3,0,2,6,0,1
27,6,6,6,4,3,4,3,5,3,3,5,1,1,4,2,4,5,3,3,5,4,4,5,5,1,2,42,3,0,2,5,0,4
28,1,5,1,4,5,6,7,6,3,2,3,4,4,5,6,5,5,4,4,6,4,5,4,5,1,2,41,2,2,2,5,2,3
29,1,5,3,3,3,5,6,5,3,2,5,4,5,6,4,4,3,3,3,4,6,4,3,6,1,2,32,3,1,1,3,1,6
30,3,5,1,5,3,5,6,5,2,3,3,4,2,5,5,4,3,5,2,4,4,2,4,3,1,1,43,1,3,2,5,2,5
31,3,5,5,4,4,4,3,3,3,4,6,3,3,3,3,3,4,5,7,2,2,4,3,3,1,2,41,1,1,2,5,1,2
32,6,4,5,5,4,2,4,2,6,1,1,6,6,2,2,1,2,1,4,4,4,4,5,5,1,1,47,3,0,2,6,0,6
33,3,4,1,5,3,7,5,5,1,1,3,4,3,4,5,4,4,4,3,4,3,4,5,5,3,1,37,3,0,2,4,0,6
34,3,4,1,2,5,5,6,7,2,2,5,4,3,3,4,5,2,3,6,5,4,4,3,3,2,1,32,3,0,2,3,0,2
35,4,7,6,5,6,4,3,5,3,4,7,1,2,5,5,3,5,5,2,5,5,5,5,3,2,2,30,1,0,2,3,0,2
36,4,6,5,4,4,4,1,5,4,3,6,2,1,3,5,4,6,4,3,2,3,3,3,2,3,2,25,1,0,1,2,0,1
37,4,5,7,3,4,4,3,4,2,3,6,2,3,5,4,4,2,3,5,5,2,4,1,5,2,2,54,3,3,2,6,2,6
38,4,6,6,3,6,4,2,5,4,4,6,2,2,4,5,3,4,3,5,4,5,4,3,4,2,1,32,3,2,2,3,2,3
39,7,4,4,4,4,1,4,2,6,2,2,6,6,1,1,2,1,1,5,4,6,5,4,4,3,2,26,1,0,2,2,0,4
40,2,5,1,4,4,6,6,7,1,2,4,2,3,5,6,2,5,4,4,3,4,5,4,2,2,1,26,1,0,2,2,0,5
41,7,4,3,2,3,1,4,1,7,1,1,6,6,1,1,2,1,1,4,5,5,6,3,4,1,1,42,3,0,2,5,0,5
42,1,5,2,4,5,6,6,6,3,1,3,4,3,5,3,3,4,3,5,5,5,1,5,3,1,1,27,3,3,2,2,2,5
43,3,5,6,4,6,3,3,2,4,4,6,2,2,5,4,4,6,4,3,3,5,4,4,4,2,1,26,1,0,2,2,0,4
44,2,2,2,4,4,7,6,7,2,1,6,4,4,5,6,4,3,4,3,5,6,4,3,5,1,1,24,2,1,2,1,1,3
45,5,6,7,4,3,5,2,5,3,4,7,2,1,5,4,5,4,5,3,5,5,4,5,3,1,2,48,3,0,2,6,0,4
46,3,5,5,5,2,3,1,6,3,3,6,3,1,5,3,4,5,3,4,5,4,5,4,2,1,2,43,3,2,2,5,2,2
47,2,4,1,4,4,7,6,5,1,1,4,2,4,7,5,3,3,2,3,4,3,6,4,4,1,1,23,1,0,2,1,0,3
48,2,3,1,5,4,6,7,7,1,2,6,5,3,4,4,4,5,4,7,5,3,3,5,4,3,1,42,1,1,2,5,1,3
49,5,7,6,4,7,2,2,5,3,3,6,2,2,4,4,4,2,5,3,3,3,3,4,6,2,2,40,1,1,2,5,1,5
50,3,4,3,3,2,7,6,6,3,1,3,5,3,5,4,5,5,4,4,5,5,3,3,4,1,2,32,3,0,2,3,0,6
51,2,5,1,6,5,6,7,5,2,2,3,3,3,6,4,5,6,4,3,2,3,4,5,5,3,1,25,2,0,2,2,0,5
52,2,2,5,5,4,7,7,5,4,3,6,2,6,6,7,4,1,3,6,6,7,1,2,1,1,2,41,3,1,2,5,1,2
53,1,7,6,2,5,4,2,3,5,2,7,2,2,4,6,5,2,4,4,5,3,5,3,3,1,1,44,2,0,2,5,0,1
54,4,7,6,4,3,5,2,6,5,3,6,1,2,5,4,4,4,5,3,5,3,5,4,4,2,1,31,1,0,2,3,0,4
55,3,2,4,5,3,6,6,4,3,4,6,1,3,6,6,4,5,2,6,7,6,2,1,1,1,1,47,1,0,2,6,0,5
56,5,2,5,4,1,6,7,3,3,5,7,1,7,6,7,3,5,5,7,7,6,1,1,2,1,1,27,1,1,2,2,1,2
57,3,5,3,3,4,7,7,5,1,3,2,5,3,3,4,5,2,5,5,3,5,5,4,1,3,1,34,1,0,2,3,0,4
58,4,6,7,4,6,3,1,3,5,5,7,2,1,4,3,4,3,3,5,6,5,5,4,5,2,2,40,2,0,2,5,0,3
59,7,5,3,3,5,2,4,1,6,1,2,6,6,1,1,2,1,1,3,4,5,4,2,3,2,1,44,2,0,2,5,0,3
60,5,5,7,4,2,4,2,4,5,4,5,3,2,5,3,1,4,6,4,6,3,1,4,5,1,2,23,1,0,2,1,0,5
61,1,4,2,3,4,5,6,7,3,2,4,5,2,4,4,4,4,6,3,4,3,5,4,4,3,1,30,1,4,2,3,2,5
62,1,4,2,2,5,6,6,5,1,2,4,5,3,5,6,3,3,5,5,4,5,4,4,4,2,1,35,2,0,2,4,0,4
63,6,5,2,1,5,2,4,1,7,1,2,7,6,1,1,1,2,1,4,4,6,5,5,3,3,1,41,3,0,2,5,0,4
64,3,3,3,3,5,5,7,5,1,1,4,3,4,4,4,4,4,3,6,3,5,4,4,4,1,1,48,3,0,2,6,0,6
65,3,2,5,4,4,6,7,4,4,2,7,2,5,7,6,4,3,4,6,7,7,2,1,2,1,1,41,1,1,2,5,1,5
66,3,6,7,5,5,5,2,1,5,4,5,1,3,4,4,4,4,2,4,3,4,5,4,4,2,1,40,3,3,2,5,2,3
67,6,4,4,3,2,1,4,1,6,1,1,6,7,2,2,1,1,1,4,6,5,3,4,4,3,2,40,1,3,1,5,2,3
68,6,5,4,4,3,2,4,2,7,1,2,7,7,1,2,2,1,2,3,4,4,3,5,4,3,1,47,3,0,2,6,0,4
69,2,6,1,4,6,6,5,5,3,2,5,5,4,4,6,4,4,3,4,5,3,7,4,3,1,1,30,1,1,2,3,1,5
70,7,4,6,5,4,1,3,2,6,1,2,7,7,2,1,1,1,1,5,6,4,5,4,4,1,2,33,1,2,2,3,2,3
71,6,5,6,4,2,2,3,2,6,1,2,7,7,2,2,1,1,1,3,4,3,6,5,4,1,2,24,1,0,2,1,0,1
72,2,4,2,4,2,6,7,5,1,2,5,5,3,4,3,5,4,4,6,3,5,3,3,3,2,1,39,3,3,1,4,2,3
73,3,1,4,5,2,6,7,4,4,4,7,2,5,7,7,2,4,5,6,6,6,1,1,2,1,2,42,3,1,2,5,1,6
74,5,6,7,3,6,4,2,4,4,4,7,3,2,2,4,3,4,4,5,3,4,5,3,5,1,2,41,1,0,2,5,0,3
75,7,4,4,4,7,2,5,2,7,2,1,7,7,2,2,2,2,2,4,4,3,4,4,5,1,2,32,1,1,2,3,1,5
76,2,5,3,4,5,6,6,6,2,2,5,3,4,3,3,3,4,5,4,4,3,5,3,4,1,1,26,3,1,2,2,1,5
77,2,4,1,5,3,6,5,6,2,1,4,4,3,5,4,4,4,3,4,5,2,3,5,3,1,1,50,3,2,2,6,2,6
78,4,6,6,4,5,5,2,3,3,4,6,2,2,6,5,5,5,3,6,5,3,4,3,3,1,1,35,1,2,2,4,2,5
79,3,5,1,4,4,6,6,5,1,1,4,5,4,2,5,5,6,4,3,2,6,6,4,4,1,2,20,1,2,2,1,2,6
80,2,5,1,4,3,6,5,6,2,3,5,4,6,4,5,3,3,2,2,5,3,7,4,4,1,2,34,1,1,1,3,1,1
81,7,5,6,2,4,2,6,2,6,1,2,6,7,2,1,2,1,2,5,5,2,3,5,4,1,2,44,1,1,2,5,1,2
82,5,6,6,4,5,5,1,4,5,5,7,2,2,3,3,3,4,4,2,5,4,3,5,4,2,2,34,3,0,2,3,0,3
83,6,4,4,2,4,1,4,1,6,2,2,7,7,2,1,1,1,1,4,5,5,5,5,3,1,2,36,1,0,2,4,0,5
84,6,4,3,3,6,2,3,2,6,1,2,6,6,1,1,1,1,2,4,4,6,5,3,3,3,1,33,1,2,2,3,2,5
85,2,7,7,4,3,4,3,4,3,4,6,2,3,4,2,5,4,3,3,4,4,4,4,1,1,2,55,3,0,2,6,0,2
86,6,3,3,4,2,1,5,2,6,2,1,7,6,1,2,2,2,1,4,4,5,3,5,4,1,1,46,1,0,2,6,0,6
87,2,3,3,3,5,7,6,7,2,2,4,5,4,3,4,5,4,6,4,2,6,5,5,5,3,2,32,1,0,1,3,0,5
88,6,5,4,5,4,1,5,1,6,1,2,7,6,2,1,2,2,1,4,5,5,4,3,4,1,1,30,1,3,2,3,2,6
89,4,2,4,3,4,6,6,6,3,4,6,1,4,6,6,3,5,3,7,7,7,1,1,2,2,1,28,3,1,2,2,1,3
90,2,6,6,5,3,4,2,4,4,6,5,1,3,5,6,4,4,4,4,6,3,4,5,5,3,1,31,2,0,2,3,0,2
91,2,5,3,5,6,6,6,5,3,2,4,4,3,4,4,4,4,6,5,4,4,4,3,3,1,2,32,1,3,1,3,2,4
92,4,2,5,4,5,7,6,2,4,3,7,1,2,6,7,3,4,4,6,6,6,1,2,2,1,2,29,1,1,1,2,1,2
93,3,7,6,6,5,4,2,4,3,4,6,2,3,4,5,3,3,5,3,6,4,2,2,4,2,2,40,1,2,2,5,2,4
94,2,4,3,3,4,5,7,6,1,2,3,2,3,5,5,5,5,3,4,4,5,4,4,2,3,1,33,3,0,2,3,0,2
95,6,7,5,3,4,3,3,4,4,3,6,2,2,3,2,2,3,2,4,4,4,3,4,3,2,2,57,1,3,2,6,2,4
96,6,5,6,5,5,2,4,2,7,1,1,6,6,1,2,2,1,1,1,5,5,5,5,3,3,1,26,3,0,1,2,0,5
97,2,6,3,3,6,7,6,5,1,2,4,5,4,5,5,3,4,5,2,3,3,3,5,4,3,2,27,3,0,1,2,0,6
98,2,6,2,2,3,5,5,7,1,2,4,3,4,5,5,4,2,3,4,4,5,4,4,5,2,2,46,1,3,2,6,2,2
99,7,6,4,4,3,2,3,1,6,1,1,7,6,2,2,2,1,1,4,3,6,3,4,4,3,2,38,3,2,2,4,2,3
100,3,1,3,4,6,7,7,6,3,3,7,2,6,7,6,4,3,5,7,6,6,2,1,2,1,1,44,1,2,2,5,2,6
101,4,6,7,5,2,3,1,4,4,4,7,2,2,3,5,4,5,4,2,3,6,4,3,4,2,2,40,1,0,1,5,0,3
102,4,6,6,4,3,3,3,4,4,4,6,2,2,4,5,5,2,4,2,4,4,5,5,3,1,2,27,1,0,2,2,0,5
103,5,5,5,3,5,4,2,4,4,4,7,1,1,5,3,3,3,3,4,5,3,3,5,3,2,2,41,1,0,2,5,0,1
104,6,4,4,5,4,2,6,1,6,2,2,6,7,2,1,2,1,1,5,5,4,6,5,5,1,2,37,3,0,2,4,0,3
105,2,1,5,3,6,7,6,4,5,2,7,2,5,6,7,3,4,4,6,7,7,1,2,1,2,2,34,1,2,2,3,2,6
106,7,3,3,4,3,2,3,1,7,2,1,6,7,2,2,1,1,2,3,4,3,4,6,4,1,2,28,3,0,2,2,0,1
107,2,3,2,2,6,5,6,6,2,1,4,4,6,5,4,3,2,4,5,5,3,5,4,2,1,1,44,3,0,2,5,0,4
108,4,5,6,4,4,2,2,4,5,3,5,2,3,5,3,4,3,4,2,4,3,4,3,4,1,2,46,1,4,2,6,2,3
109,6,6,5,5,4,2,4,2,6,2,2,6,6,1,1,1,1,2,6,4,2,3,5,4,3,1,30,3,0,2,3,0,2
110,6,3,4,3,4,1,5,2,7,1,2,6,6,1,2,1,2,1,5,3,3,4,4,3,1,2,29,2,2,2,2,2,3
111,2,7,7,4,3,5,1,6,4,5,6,2,2,3,4,4,3,4,3,3,5,4,3,5,1,2,37,3,0,2,4,0,3
112,3,2,2,4,3,6,7,4,4,5,6,1,3,6,6,6,4,4,7,6,6,1,2,1,3,2,44,3,1,2,5,1,4
113,2,3,1,5,4,7,7,5,3,2,4,2,3,3,6,4,4,5,4,4,4,4,5,3,1,1,41,3,4,2,5,2,5
114,7,2,4,6,3,1,4,1,6,2,2,6,6,1,1,1,1,2,2,4,4,5,3,4,3,1,41,3,0,2,5,0,4
115,6,4,5,4,6,2,5,2,6,1,2,6,7,1,1,1,1,1,3,2,3,4,4,2,3,1,51,2,1,2,6,1,2
116,5,5,5,4,4,4,3,4,6,3,6,3,2,3,4,5,4,5,4,4,3,2,4,4,2,1,26,3,0,2,2,0,1
117,2,2,1,3,5,6,7,6,1,1,4,4,4,3,5,2,5,4,4,4,4,5,5,2,2,2,28,1,0,2,2,0,3
118,6,5,4,4,3,2,5,1,6,2,2,7,6,1,1,1,1,2,3,3,6,5,5,4,2,1,58,1,0,2,6,0,5
119,7,5,3,5,4,2,4,1,7,1,1,7,7,1,1,2,1,2,4,3,5,4,4,4,2,2,35,1,0,1,4,0,2
120,6,3,3,3,5,1,4,1,7,1,2,7,7,1,1,2,2,2,1,5,2,3,4,4,3,2,28,3,2,2,2,2,5
121,7,2,5,4,4,1,5,1,7,1,2,7,7,2,1,1,2,2,3,6,4,5,4,5,2,2,44,1,0,2,5,0,2
122,1,5,2,5,5,7,7,6,2,2,4,3,4,3,5,6,5,4,4,5,4,5,1,3,2,1,45,3,1,2,6,1,4
123,6,3,6,4,5,2,3,1,7,2,1,6,6,1,1,1,1,1,2,2,5,3,3,4,1,1,51,1,0,2,6,0,5
124,5,6,6,5,3,3,3,3,4,4,5,3,2,3,4,6,5,4,4,5,3,4,3,4,1,1,27,3,2,2,2,2,5
125,3,1,5,2,4,7,6,5,4,4,7,1,2,6,7,2,2,4,6,6,6,1,1,2,1,1,21,3,0,1,1,0,1
126,4,5,5,4,4,4,2,3,6,3,6,3,2,3,6,3,4,5,4,4,4,5,5,6,3,1,23,3,0,1,1,0,1
127,2,6,1,5,4,6,5,6,3,3,4,5,3,4,4,5,5,4,5,2,5,5,5,2,3,2,31,3,0,2,3,0,2
128,6,5,3,4,5,2,4,2,7,1,2,6,7,1,2,2,1,2,5,6,4,5,5,4,2,2,38,3,1,2,4,1,5
129,3,4,1,2,6,7,5,5,2,2,6,5,5,5,4,3,5,4,6,4,4,4,5,5,1,2,34,3,2,2,3,2,6
130,3,6,6,2,3,3,2,2,5,3,6,1,2,2,4,2,5,4,5,4,5,2,4,3,2,1,43,3,0,2,5,0,2
131,3,5,7,3,5,4,3,4,3,3,6,2,3,4,4,2,4,4,3,3,4,5,5,3,2,2,31,1,2,2,3,2,5
132,3,2,4,5,3,7,6,4,7,4,7,2,5,6,7,3,5,4,6,7,6,2,2,2,3,2,37,1,2,2,4,2,4
133,7,3,3,2,4,2,3,2,7,2,1,6,6,2,2,2,1,2,4,6,5,3,5,5,3,2,42,2,0,1,5,0,5
134,3,1,2,4,4,7,6,6,4,3,6,2,4,7,7,5,2,5,7,7,6,2,1,2,3,1,27,1,0,2,2,0,1
135,1,5,1,3,3,5,7,6,1,2,3,3,6,5,5,3,4,2,3,3,4,5,5,6,1,2,40,1,1,1,5,1,6
136,6,3,5,3,4,2,4,1,7,1,1,7,6,1,1,1,2,1,6,4,5,5,4,4,1,2,29,1,0,2,2,0,6
137,3,6,6,4,5,4,1,4,4,4,6,1,2,4,6,3,4,1,4,4,4,5,4,6,3,2,22,3,0,1,1,0,1
138,2,2,2,5,3,6,5,6,3,3,3,4,3,5,4,5,3,2,2,5,5,3,5,5,3,2,25,1,0,2,2,0,3
139,3,7,5,3,5,3,2,5,4,3,6,3,2,3,4,3,3,5,4,2,4,5,4,7,2,2,47,3,3,2,6,2,3
140,2,4,1,4,2,6,6,7,3,2,5,5,3,6,5,6,4,6,4,4,3,5,3,5,2,1,43,1,0,2,5,0,3
141,2,3,3,3,7,5,6,6,2,2,2,4,5,4,5,5,3,3,4,5,3,7,4,4,2,2,39,1,3,2,4,2,4
142,7,5,2,5,4,1,4,1,7,1,2,7,7,2,2,2,1,1,3,3,4,5,4,3,2,1,27,3,0,2,2,0,2
143,3,4,2,5,5,7,7,7,1,3,4,5,4,5,6,6,4,4,4,5,5,2,4,6,2,2,55,3,0,2,6,0,4
144,3,3,2,4,6,6,7,7,2,2,3,3,3,3,4,4,6,3,3,5,3,5,4,3,2,1,39,1,0,2,4,0,6
145,5,2,5,4,5,7,6,4,3,4,7,2,4,7,7,5,5,5,7,7,6,2,1,1,3,2,40,1,2,2,5,2,3
146,4,5,6,3,3,3,2,3,4,4,6,1,2,4,5,4,3,5,5,5,4,5,3,5,1,1,42,3,0,1,5,0,3
147,3,2,5,5,4,6,6,4,3,3,6,1,5,7,6,5,3,5,7,7,7,2,1,2,3,2,39,1,0,2,4,0,6
148,6,4,2,4,4,1,3,1,7,1,2,7,7,1,1,2,1,2,6,4,4,4,5,4,2,1,48,3,2,2,6,2,2
149,7,6,6,4,5,1,4,1,6,2,1,6,7,1,2,2,1,2,4,4,6,5,3,5,3,1,39,3,2,2,4,2,4
150,7,4,7,6,4,1,5,1,6,1,2,6,6,1,2,2,1,2,3,4,5,4,5,5,3,1,26,1,0,2,2,0,3
151,6,4,5,3,5,2,5,2,7,1,1,7,6,2,2,1,2,1,2,5,4,4,6,5,2,2,37,3,1,2,4,1,4
152,3,4,2,5,5,6,6,7,3,3,3,4,5,1,4,4,4,4,4,4,5,5,3,3,3,1,31,3,0,1,3,0,3
153,7,5,5,4,4,1,4,2,6,1,1,6,6,2,1,1,2,1,3,4,2,4,5,5,3,1,42,1,3,2,5,2,5
154,7,4,4,5,4,2,6,1,6,1,2,6,6,2,2,1,2,1,5,5,5,5,4,5,2,1,31,1,2,2,3,2,5
155,7,3,4,5,5,2,3,1,6,1,2,6,7,1,2,2,1,1,2,3,4,3,7,2,3,1,24,1,0,1,1,0,2
156,5,2,3,5,4,6,7,2,6,3,6,1,4,6,6,5,4,5,6,7,7,2,1,1,1,1,35,1,1,1,4,1,1
157,6,3,4,3,4,1,2,1,7,1,1,6,7,1,2,1,2,2,4,3,1,5,5,4,1,1,29,1,1,2,2,1,4
158,7,2,4,5,2,2,3,2,7,2,2,7,7,2,1,2,1,1,4,4,4,5,4,4,2,1,48,3,0,2,6,0,6
159,2,3,2,3,4,7,6,6,2,2,5,3,4,3,4,4,3,4,4,5,5,2,4,4,2,2,51,3,0,2,6,0,3
160,2,5,1,2,6,5,6,6,1,3,3,4,4,5,3,5,6,4,4,6,5,5,4,4,1,1,43,1,0,2,5,0,2
161,1,5,2,6,5,6,5,7,1,1,5,4,4,3,4,4,3,4,4,6,4,5,5,4,2,1,37,1,0,2,4,0,4
162,4,7,5,3,4,4,2,2,3,4,7,2,3,4,5,4,3,3,3,5,4,3,4,3,1,1,40,3,2,1,5,2,3
163,7,3,5,4,2,1,4,1,6,1,1,7,7,1,2,2,1,1,5,5,3,5,4,3,3,1,30,3,1,2,3,1,1
164,7,5,6,6,4,1,4,2,6,1,2,6,6,2,2,1,2,2,4,2,4,2,3,7,2,1,27,3,1,2,2,1,4
165,7,3,4,6,3,1,5,2,6,2,1,7,7,1,2,1,1,1,3,3,5,2,4,5,1,2,26,1,0,2,2,0,1
166,7,4,3,4,4,1,5,1,7,1,2,7,7,2,2,2,2,1,5,5,3,4,4,4,3,1,48,1,1,2,6,1,3
167,6,4,4,2,4,2,4,1,6,1,2,6,7,2,2,1,1,1,4,3,5,5,4,4,1,2,37,1,0,2,4,0,3
168,5,6,5,5,4,5,2,5,6,3,6,3,1,7,4,4,5,7,5,2,4,4,4,4,1,2,44,3,0,2,5,0,3
169,6,5,4,4,3,1,3,2,7,1,1,6,7,2,2,1,2,1,4,4,3,3,5,3,1,1,30,2,0,2,3,0,4
170,2,1,5,3,4,7,7,5,6,5,6,1,6,6,6,4,4,5,6,7,6,1,2,1,1,2,40,2,0,2,5,0,4
171,6,3,4,3,5,2,5,2,6,1,2,7,6,1,1,1,2,2,4,3,4,3,3,4,3,1,20,3,0,2,1,0,1
172,4,1,4,4,4,6,7,5,4,4,6,1,5,7,6,4,3,3,6,6,7,1,1,2,1,2,51,1,0,2,6,0,4
173,6,5,3,5,5,1,4,2,7,2,1,6,6,1,2,2,1,2,5,3,4,3,2,3,1,2,32,1,1,2,3,1,3
174,7,4,3,5,6,1,3,2,7,2,2,6,6,1,1,1,1,2,4,6,2,5,5,5,1,1,40,1,0,2,5,0,4
175,3,6,6,4,5,4,2,6,3,5,7,3,2,3,2,5,3,4,4,2,4,5,6,3,2,2,26,3,0,2,2,0,2
176,6,4,3,3,4,1,5,2,6,1,2,7,6,1,1,1,1,1,5,4,6,5,5,5,1,1,29,3,0,2,2,0,4
177,2,4,1,4,3,6,6,6,1,1,3,3,5,5,5,2,4,3,5,5,4,5,2,4,1,2,34,1,1,2,3,1,5
178,1,4,2,4,4,6,7,7,3,1,4,5,3,5,2,5,6,3,5,3,5,5,3,7,3,1,28,1,2,2,2,2,5
179,3,6,5,5,4,2,2,5,4,4,6,2,2,4,4,5,4,5,5,4,3,4,3,4,1,1,55,2,3,2,6,2,2
180,4,7,5,3,4,5,2,5,4,6,5,3,1,3,3,3,3,5,2,2,3,5,4,4,2,1,30,1,0,2,3,0,5
181,6,1,3,5,4,6,6,5,3,4,6,1,4,6,6,4,3,5,6,6,7,2,1,1,3,1,42,3,0,2,5,0,2
182,3,5,3,3,5,6,6,5,2,2,3,3,4,4,6,2,4,3,4,4,4,4,3,2,3,2,21,3,0,1,1,0,1
183,2,6,5,2,5,3,3,4,3,4,6,2,2,3,4,5,4,2,5,5,3,4,4,2,1,1,45,1,0,2,6,0,6
184,2,1,4,5,1,7,6,4,5,3,6,2,3,7,6,4,3,2,6,6,6,2,1,1,3,1,20,2,0,2,1,0,6
185,5,6,6,5,3,4,2,4,5,3,5,2,2,5,4,3,4,6,4,4,4,4,4,5,1,1,44,1,0,2,5,0,6
186,7,4,4,3,4,1,4,1,7,2,2,7,7,2,1,1,2,2,6,2,4,3,2,3,1,1,38,1,1,2,4,1,6
187,4,5,7,4,2,5,2,4,4,4,6,1,1,5,4,3,4,2,4,5,5,3,4,3,1,1,26,3,0,2,2,0,2
188,3,6,5,3,2,5,2,6,4,2,6,1,3,4,5,5,4,6,5,4,4,3,5,6,1,2,33,1,0,2,3,0,2
189,1,5,1,4,2,7,5,6,2,2,4,5,5,3,3,3,3,5,5,4,4,5,3,4,1,2,30,2,1,2,3,1,5
190,2,5,2,3,3,5,6,6,2,2,3,4,5,4,2,4,4,5,3,5,6,4,3,4,2,1,40,3,0,2,5,0,5
191,5,6,6,6,4,4,2,3,4,3,7,1,1,2,4,3,3,4,3,4,5,3,6,6,2,2,49,1,1,2,6,1,3
192,3,5,6,6,3,5,2,4,3,3,6,2,3,5,2,5,4,5,4,4,4,3,4,4,1,1,32,1,2,2,3,2,3
193,6,5,3,6,4,1,5,2,6,1,1,7,7,1,2,1,1,1,3,2,5,3,4,4,3,1,31,1,0,1,3,0,3
194,7,5,4,3,4,2,4,2,6,1,1,6,6,1,2,2,2,2,5,3,6,4,6,3,1,2,40,1,1,2,5,1,5
195,4,6,7,3,5,5,2,5,5,4,7,2,1,3,4,3,3,2,5,3,3,3,4,4,2,2,20,1,2,2,1,2,4
196,4,6,6,4,3,5,2,4,4,3,5,3,3,4,5,4,4,2,6,4,4,4,4,5,2,2,50,3,0,2,6,0,3
197,3,1,5,5,4,6,7,2,4,3,7,2,4,6,7,3,3,5,7,7,7,1,1,2,2,2,22,3,0,2,1,0,3
198,3,3,1,4,2,6,6,6,2,1,4,1,4,4,3,6,4,4,5,3,4,3,1,4,1,1,29,2,1,2,2,1,5
199,1,5,1,3,4,6,6,6,1,1,5,3,4,5,4,3,5,3,5,5,3,5,4,3,2,1,35,3,0,2,4,0,1
200,2,3,1,4,3,6,6,6,1,2,5,5,3,6,4,4,6,3,4,2,5,5,3,4,1,2,26,1,1,2,2,1,5
201,3,6,7,4,5,4,1,3,4,4,6,2,2,3,4,5,4,5,4,3,3,5,4,4,2,1,36,3,0,2,4,0,5
